"ARCHWAY HOME STYLE COOKIES,OLD FASHIONED MOLASSES",4.02,402.0
"ARCHWAY HOME STYLE COOKIES,OLD FASHIONED WINDMILL COOKIES",4.55,455.0
"ARCHWAY HOME STYLE COOKIES,PECAN ICE BOX",5.00,500.0
"ARCHWAY HOME STYLE COOKIES,PNUT BUTTER",4.80,480.0
"ARCHWAY HOME STYLE COOKIES,PNUT JUMBLE",4.84,484.0
"ARCHWAY HOME STYLE COOKIES,RASPBY FILLED",4.04,404.0
"ARCHWAY HOME STYLE COOKIES,RED FAT GINGER SNAPS",4.25,425.0
"ARCHWAY HOME STYLE COOKIES,RUTH'S OATMEAL",4.28,428.0
"ARCHWAY HOME STYLE COOKIES,SOFT SUGAR DROP",3.90,390.0
"ARCHWAY HOME STYLE COOKIES,STRAWBY FILLED",4.01,401.0
"ARCHWAY HOME STYLE COOKIES,SUGAR",4.10,410.0
"ARCHWAY HOME STYLE COOKIES,SUGAR FREE CHOC CHIP",4.48,448.0
"ARCHWAY HOME STYLE COOKIES,SUGAR FREE OATMEAL",4.42,442.0
"ARCHWAY HOME STYLE COOKIES,SUGAR FREE ROCKY ROAD",4.21,421.0
"ARCHWAY HOME STYLE COOKIES,SUGAR FREE SHORTBREAD",4.45,445.0
"ARMOUR CORNED BF HASH,CND ENTREE",2.11,211.0
"ARROWHEAD,CKD,BLD,DRND,W/SALT",0.78,78.0
"ARROWHEAD,CKD,BLD,DRND,WO/SALT",0.78,78.0
"ARROWHEAD,RAW",0.99,99.0
ARROWROOT FLOUR,3.57,357.0
"ARROWROOT,RAW",0.65,65.0
"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,W/SALT",0.50,50.0
"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT",0.50,50.0
"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT",0.45,45.0
"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,WO/SALT",0.45,45.0
"ARTICHOKES,(GLOBE OR FRENCH),FRZ,UNPREP",0.38,38.0
"ARTICHOKES,(GLOBE OR FRENCH),RAW",0.47,47.0
"ARTIFICIAL BLUEBY MUFFIN MIX,DRY",4.07,407.0
"ARUGULA,RAW",0.25,25.0
"ASPARAGUS,CKD,BLD,DRND",0.24,24.0
"ASPARAGUS,CKD,BLD,DRND,W/SALT",0.24,24.0
"ASPARAGUS,CND,DRND SOL",0.19,19.0
"ASPARAGUS,CND,NO SALT,SOL&LIQUIDS",0.15,15.0
"ASPARAGUS,CND,REG PK,SOL&LIQUIDS",0.15,15.0
"ASPARAGUS,FRZ,CKD,BLD,DRND,W/SALT",0.28,28.0
"ASPARAGUS,FRZ,CKD,BLD,DRND,WO/SALT",0.28,28.0
"ASPARAGUS,FRZ,UNPREP",0.24,24.0
"ASPARAGUS,RAW",0.23,23.0
"AVOCADOS,RAW,ALL COMM VAR",1.61,161.0
"AVOCADOS,RAW,CALIFORNIA",1.77,177.0
"AVOCADOS,RAW,FLORIDA",1.12,112.0
"BABYFOOD,APPLE-BANANA JUC",0.51,51.0
"BABYFOOD,APPLE-CRANBY JUC",0.47,47.0
"BABYFOOD,APPLS W/HAM,STR",0.62,62.0
"BABYFOOD,APPLS&TURKEY,STR",0.65,65.0
"BABYFOOD,APPLS,DICES,TODD",0.51,51.0
"BABYFOOD,CARROTS&BF,STR",0.59,59.0
"BABYFOOD,CEREAL,MIXED,DRY",3.79,379.0
"BABYFOOD,CEREAL,RICE,DRY",3.91,391.0
"BABYFOOD,CHY COBBLER,JR",0.78,78.0
"BABYFOOD,COOKIES",4.33,433.0
"BABYFOOD,COOKIES,ARROWROOT",4.42,442.0
"BABYFOOD,CRL,BARLEY,DRY",3.65,365.0
"BABYFOOD,CRL,BARLEY,PREP W/WHL MILK",1.11,111.0
"BABYFOOD,CRL,EGG YOLKS&BACON,JR",0.79,79.0
"BABYFOOD,CRL,HI PROT,DRY",3.62,362.0
"BABYFOOD,CRL,HI PROT,PREP W/WHL MILK",1.11,111.0
"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,DRY",3.74,374.0
"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,PREP W/WHL MILK",1.12,112.0
"BABYFOOD,CRL,MXD,PREP W/WHL MILK",1.13,113.0
"BABYFOOD,CRL,MXD,W/APPLSAUC&BANANAS,JR",0.83,83.0
"BABYFOOD,CRL,MXD,W/APPLSAUC&BANANAS,STR",0.82,82.0
"BABYFOOD,CRL,MXD,W/BANANAS,DRY",3.91,391.0
"BABYFOOD,CRL,MXD,W/BANANAS,PREP W/WHL MILK",1.15,115.0
"BABYFOOD,CRL,MXD,W/HONEY,PREP W/WHL MILK",1.15,115.0
"BABYFOOD,CRL,OATMEAL,DRY",3.98,398.0
"BABYFOOD,CRL,OATMEAL,PREP W/WHL MILK",1.16,116.0
"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,JR",0.75,75.0
"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,STR",0.73,73.0
"BABYFOOD,CRL,OATMEAL,W/BANANAS,DRY",3.93,393.0
"BABYFOOD,CRL,OATMEAL,W/BANANAS,PREP W/WHL MILK",1.16,116.0
"BABYFOOD,CRL,OATMEAL,W/HONEY,DRY",3.91,391.0
"BABYFOOD,CRL,OATMEAL,W/HONEY,PREP W/WHL MILK",1.15,115.0
"BABYFOOD,CRL,RICE,PREP W/WHL MILK",1.15,115.0
"BABYFOOD,CRL,RICE,W/APPLSAUC&BANANAS,STR",0.79,79.0
"BABYFOOD,CRL,RICE,W/BANANAS,DRY",4.04,404.0
"BABYFOOD,CRL,RICE,W/BANANAS,PREP W/WHL MILK",1.17,117.0
"BABYFOOD,CRL,RICE,W/HONEY,PREP W/WHL MILK",1.15,115.0
"BABYFOOD,CRL,RICE,W/MXD FRUIT,JR",0.79,79.0
"BABYFOOD,CRL,W/EGG YOLKS,JR",0.52,52.0
"BABYFOOD,CRL,W/EGG YOLKS,STR",0.51,51.0
"BABYFOOD,CRL,W/EGGS,STR",0.58,58.0
"BABYFOOD,DINNER,APPLS&CHICK,STR",0.65,65.0
"BABYFOOD,DINNER,BF LASAGNA,TODD",0.77,77.0
"BABYFOOD,DINNER,BF NOODLE,JR",0.57,57.0
"BABYFOOD,DINNER,BF NOODLE,STR",0.63,63.0
"BABYFOOD,DINNER,BF STEW,TODD",0.51,51.0
"BABYFOOD,DINNER,BF&RICE,TODD",0.82,82.0
"BABYFOOD,DINNER,BROCCOLI&CHICK,STR",0.42,42.0
"BABYFOOD,DINNER,CHICK NOODLE,JR",0.55,55.0
"BABYFOOD,DINNER,CHICK NOODLE,STR",0.66,66.0
"BABYFOOD,DINNER,CHICK SOUP,STR",0.50,50.0
"BABYFOOD,DINNER,CHICK STEW,TODD",0.78,78.0
"BABYFOOD,DINNER,GRN BNS&TURKEY,STR",0.53,53.0
"BABYFOOD,DINNER,MACARONI&CHS,JR",0.61,61.0
"BABYFOOD,DINNER,MACARONI&CHS,STR",0.67,67.0
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",0.59,59.0
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",0.61,61.0
"BABYFOOD,DINNER,MXD VEG,JR",0.33,33.0
"BABYFOOD,DINNER,MXD VEG,STR",0.41,41.0
"BABYFOOD,DINNER,PASTA W/VEG",0.60,60.0
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",0.68,68.0
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",0.75,75.0
"BABYFOOD,DINNER,SWT POTATOES&CHICK,STR",0.74,74.0
"BABYFOOD,DINNER,TURKEY&RICE,JR",0.56,56.0
"BABYFOOD,DINNER,TURKEY&RICE,STR",0.52,52.0
"BABYFOOD,DINNER,VEG CHICK,STR",0.59,59.0
"BABYFOOD,DINNER,VEG&BACON,JR",0.71,71.0
"BABYFOOD,DINNER,VEG&BACON,STR",0.71,71.0
"BABYFOOD,DINNER,VEG&BF,JR",0.62,62.0
"BABYFOOD,DINNER,VEG&BF,STR",0.63,63.0
"BABYFOOD,DINNER,VEG&CHICK,JR",0.53,53.0
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",0.48,48.0
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",0.48,48.0
"BABYFOOD,DINNER,VEG&HAM,JR",0.60,60.0
"BABYFOOD,DINNER,VEG&HAM,STR",0.59,59.0
"BABYFOOD,DINNER,VEG&LAMB,JR",0.51,51.0
"BABYFOOD,DINNER,VEG&LAMB,STR",0.52,52.0
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR",0.52,52.0
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR",0.44,44.0
"BABYFOOD,DINNER,VEG&TURKEY,JR",0.53,53.0
"BABYFOOD,DINNER,VEG&TURKEY,STR",0.48,48.0
"BABYFOOD,DINNER,VEG&TURKEY,TODD",0.80,80.0
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR",0.64,64.0
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR",0.63,63.0
"BABYFOOD,DINNER,VEG,TURKEY,&BARLEY",0.53,53.0
"BABYFOOD,DSSRT,CHY VANILLA PUDD,JR",0.69,69.0
"BABYFOOD,DSSRT,CHY VANILLA PUDD,STR",0.68,68.0
"BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,JR",0.86,86.0
